movie_id;language_iso;language_name
121727;3241;English
121831;3241;English
121835;3241;English
121835;3201;Deutsch
121879;3241;English
121959;3241;English
122;3241;English
122019;3246;Español
122088;3325;עִבְרִית
122268;3241;English
122270;3201;Deutsch
122325;3241;English
122325;3276;Français
122435;3201;Deutsch
122466;3241;English
122515;3241;English
122525;3246;Español
122671;3683;svenska
122677;3241;English
122709;3241;English
122787;3371;Italiano
122857;3241;English
122884;3241;English
122924;3241;English
122928;3241;English
122930;3241;English
122982;3241;English
123;3241;English
123103;3241;English
123103;3246;Español
123105;3241;English
123107;3241;English
123109;3241;English
123229;3276;Français
123235;3241;English
123235;3276;Français
123235;3371;Italiano
123320;3267;suomi
123337;3241;English
123359;3246;Español
123431;3241;English
123553;3241;English
123723;3276;Français
123757;3241;English
123949;3651;Pусский
123961;3241;English
124;3241;English
124;3580;Polski
124013;3276;Français
124029;3241;English
124071;3241;English
124085;3276;Français
124085;3383;日本語
124085;3800;Wolof
124091;3241;English
124091;3371;Italiano
124091;3276;Français
124111;3241;English
124277;3241;English
124294;3428;한국어/조선말
1244;3201;Deutsch
124414;3672;Slovenčina
124470;3241;English
1245;3241;English
124517;3241;English
124517;3276;Français
124517;3383;日本語
124521;3241;English
124527;3241;English
124527;3241;English
124581;3241;English
1246;3241;English
1246;3246;Español
124623;3241;English
124625;3241;English
124625;3201;Deutsch
124633;3241;English
124633;3679;Srpski
124645;3241;English
1248;3241;English
1248;3201;Deutsch
1248;3651;Pусский
124839;3672;Slovenčina
124839;3241;English
124843;3241;English
1249;3241;English
124905;3404;
124905;3241;English
124963;3241;English
1250;3241;English
125039;3276;Français
125077;3241;English
1251;3241;English
1251;3383;日本語
125141;3371;Italiano
125229;3383;日本語
125233;3241;English
125249;3241;English
125257;3383;日本語
125271;3383;日本語
1253;3241;English
1253;3201;Deutsch
125305;3241;English
125313;3651;Pусский
1254;3276;Français
125409;3241;English
125413;3241;English
125495;3276;Français
1255;3428;한국어/조선말
125509;3241;English
125513;3383;日本語
125521;3383;日本語
125531;3651;Pусский
125537;3241;English
125541;3424;қазақ
125619;3246;Español
125623;3276;Français
1257;3241;English
125700;3800;Wolof
125700;3276;Français
125795;3673;Slovenščina
125874;3241;English
125882;3683;svenska
1259;3241;English
1259;3276;Français
125926;3683;svenska
125946;3276;Français
125948;3246;Español
125958;3241;English
125990;3241;English
1260;3247;Eesti
1260;3518;Nederlands
126016;3241;English
126104;3246;Español
126108;3276;Français
126122;3241;English
126132;3840;No Language
126136;3241;English
126172;3241;English
126186;3241;English
1262;3241;English
126219;3383;日本語
126227;3241;English
126300;3434;
126300;3121;العربية
126300;3276;Français
126331;3276;Français
126418;3241;English
126432;3383;日本語
1265;3241;English
126550;3241;English
126560;3710;Türkçe
126597;3184;Český
1266;3241;English
1266;3710;Türkçe
1267;3241;English
126749;3241;English
126777;3241;English
126781;3241;English
126783;3241;English
126797;3241;English
1268;3241;English
1268;3276;Français
1268;3651;Pусский
1269;3201;Deutsch
126919;3241;English
126927;3241;English
126929;3241;English
126947;3241;English
126963;3241;English
126963;3383;日本語
126969;3487;
127;3580;Polski
127021;3246;Español
127040;3241;English
127092;3371;Italiano
127142;3201;Deutsch
127144;3241;English
127186;3241;English
1272;3241;English
127224;3840;No Language
127236;3651;Pусский
1273;3241;English
127323;3840;No Language
127445;3246;Español
127451;3886;普通话
127585;3241;English
127608;3651;Pусский
127642;3704;
127642;3241;English
127642;3704;
127642;3241;English
1277;3241;English
1277;3201;Deutsch
1277;3341;Magyar
127728;3241;English
1278;3241;English
1278;3276;Français
127867;3241;English
1279;3428;한국어/조선말
127987;3201;Deutsch
127987;3886;普通话
128;3383;日本語
1280;3428;한국어/조선말
128081;3241;English
1281;3241;English
128113;3383;日本語
128129;3241;English
128149;3588;Português
128151;3201;Deutsch
128169;3241;English
128169;3383;日本語
128177;3246;Español
1282;3241;English
128201;3241;English
128203;3267;suomi
128209;3246;Español
128215;3241;English
128237;3246;Español
128241;3241;English
1283;3246;Español
128395;3276;Français
128395;3800;Wolof
1284;3246;Español
128437;3241;English
128437;3276;Français
1285;3246;Español
128508;3371;Italiano
128564;3241;English
128588;3241;English
128588;3371;Italiano
128598;3241;English
128606;3241;English
128612;3241;English
128614;3241;English
128634;3241;English
128669;3241;English
128679;3241;English
128766;3241;English
128766;3371;Italiano
128766;3246;Español
128842;3886;普通话
128848;3241;English
128854;3241;English
128856;3201;Deutsch
128862;3184;Český
128876;3241;English
128900;3683;svenska
128900;3197;Dansk
128946;3683;svenska
128960;3840;No Language
129;3383;日本語
129009;3241;English
129009;3276;Français
129009;3371;Italiano
129062;3371;Italiano
129229;3651;Pусский
129237;3383;日本語
129311;3241;English
129405;3241;English
129417;3651;Pусский
129432;3276;Français
129432;3241;English
129432;3370;Íslenska
129518;3518;Nederlands
129530;3241;English
129689;3383;日本語
129820;3341;Magyar
129830;3651;Pусский
129847;3371;Italiano
129851;3371;Italiano
129933;3303;
129943;3259;فارسی
13;3241;English
130062;3840;No Language
130150;3241;English
130233;3201;Deutsch
130267;3241;English
130296;3241;English
130374;3241;English
130398;3241;English
130402;3241;English
130424;3241;English
130452;3241;English
130452;3276;Français
130458;3246;Español
130474;3241;English
130544;3201;Deutsch
130544;3371;Italiano
130612;3241;English
130624;3201;Deutsch
130694;3201;Deutsch
130804;3141;български език
130882;3241;English
130900;3241;English
131027;3341;Magyar
131074;3241;English
131098;3241;English
131116;3580;Polski
131172;3241;English
131433;3383;日本語
131457;3241;English
131476;3239;ελληνικά
131478;3588;Português
131504;3241;English
131634;3241;English
131739;3201;Deutsch
131739;3383;日本語
131792;3840;No Language
131822;3267;suomi
131822;3241;English
131836;3276;Français
131914;3241;English
131932;3246;Español
131940;3201;Deutsch
131940;3329;हिन्दी
131944;3241;English
131966;3241;English
131966;3371;Italiano
132;3241;English
132030;3651;Pусский
132064;3241;English
132122;3371;Italiano
132128;3246;Español
132144;3246;Español
132148;3246;Español
132232;3241;English
132236;3241;English
132298;3246;Español
132342;3241;English
132342;3276;Français
132342;3246;Español
132344;3241;English
132344;3239;ελληνικά
132344;3276;Français
132379;3840;No Language
132551;3338;Hrvatski
132561;3518;Nederlands
132561;3710;Türkçe
132561;3518;Nederlands
132561;3710;Türkçe
132608;3588;Português
132883;3241;English
132894;3241;English
132912;3241;English
132912;3710;Türkçe
132912;3645;Română
132936;3241;English
133;3241;English
133115;3241;English
133119;3241;English
133121;3383;日本語
133121;3241;English
133183;3241;English
133241;3241;English
133241;3246;Español
133255;3241;English
133255;3241;English
133365;3241;English
133369;3241;English
133373;3580;Polski
133441;3248;euskera
133441;3241;English
133441;3371;Italiano
133441;3511;
133469;3276;Français
133557;3241;English
133569;3588;Português
133575;3241;English
133643;3683;svenska
133701;3241;English
133716;3241;English
133792;3241;English
133879;3683;svenska
133941;3201;Deutsch
133941;3371;Italiano
133964;3428;한국어/조선말
134;3241;English
134126;3428;한국어/조선말
134158;3241;English
134168;3241;English
134238;3241;English
134350;3383;日本語
134360;3241;English
134362;3246;Español
134366;3241;English
134368;3241;English
134374;3241;English
134409;3241;English
134409;3241;English
134411;3241;English
134411;3246;Español
134415;3241;English
134427;3241;English
134569;3428;한국어/조선말
134597;3241;English
134680;3241;English
134777;3241;English
134806;3241;English
134812;3683;svenska
134908;3121;العربية
134908;3276;Français
135;3241;English
135097;3241;English
135097;3241;English
135161;3580;Polski
135200;3241;English
135204;3247;Eesti
135210;3651;Pусский
135214;3683;svenska
135260;3371;Italiano
135286;3276;Français
135312;3241;English
135362;3518;Nederlands
135362;3241;English
135510;3371;Italiano
135536;3371;Italiano
135545;3241;English
135579;3341;Magyar
135647;3241;English
135659;3201;Deutsch
135659;3683;svenska
135679;3241;English
135695;3371;Italiano
135697;3246;Español
135713;3241;English
135713;3241;English
135787;3241;English
135799;3383;日本語
1358;3241;English
1359;3241;English
1359;3246;Español
1359;3179;广州话 / 廣州話
135921;3241;English
136;3241;English
136;3276;Français
136;3201;Deutsch
1360;3241;English
1360;3276;Français
1360;3651;Pусский
136058;3241;English
136070;3383;日本語
136080;3371;Italiano
136080;3521;Norsk
136080;3580;Polski
1361;3241;English
136190;3184;Český
136190;3201;Deutsch
136190;3580;Polski
1363;3241;English
136311;3241;English
1364;3241;English
1364;3276;Français
1364;3201;Deutsch
1364;3246;Español
136437;3276;Français
136459;3201;Deutsch
1365;3241;English
136572;3371;Italiano
136576;3371;Italiano
136582;3276;Français
1366;3241;English
136616;3241;English
136616;3201;Deutsch
136698;3184;Český
136698;3241;English
136698;3341;Magyar
136698;3580;Polski
1367;3241;English
136742;3651;Pусский
136752;3246;Español
136762;3840;No Language
136786;3241;English
1368;3241;English
136850;3241;English
136884;3241;English
1369;3241;English
1369;3763;Tiếng Việt
136902;3679;Srpski
136928;3241;English
136966;3241;English
137;3241;English
137;3276;Français
137;3371;Italiano
1370;3241;English
1370;3651;Pусский
137008;3840;No Language
137014;3840;No Language
137072;3241;English
1371;3241;English
137144;3241;English
137174;3241;English
137182;3518;Nederlands
137182;3241;English
1372;3109;Afrikaans
1372;3241;English
137236;3241;English
1373;3241;English
137315;3276;Français
137315;3371;Italiano
137347;3241;English
137347;3645;Română
137381;3241;English
1374;3241;English
137409;3179;广州话 / 廣州話
137409;3241;English
137475;3241;English
137484;3241;English
1375;3241;English
137563;3241;English
1376;3241;English
137614;3166;Català
137614;3241;English
137614;3246;Español
137646;3241;English
1377;3241;English
1377;3371;Italiano
137757;3840;No Language
1378;3241;English
137853;3241;English
137859;3276;Français
1379;3267;suomi
1379;3651;Pусский
137968;3241;English
138;3241;English
138;3201;Deutsch
138;3341;Magyar
1380;3241;English
138030;3148;বাংলা
1381;3241;English
138118;3683;svenska
138122;3329;हिन्दी
1382;3241;English
138202;3241;English
138222;3241;English
138372;3241;English
138376;3241;English
138394;3241;English
138486;3241;English
138496;3241;English
138502;3518;Nederlands
138502;3276;Français
138544;3241;English
1387;3241;English
138752;3840;No Language
138754;3683;svenska
1389;3241;English
139058;3241;English
1391;3246;Español
139159;3276;Français
139195;3683;svenska
1392;3148;বাংলা
1392;3241;English
139215;3241;English
139251;3241;English
1393;3489;
139325;3246;Español
139329;3241;English
139329;3383;日本語
139329;3886;普通话
139349;3241;English
1394;3371;Italiano
1394;3651;Pусский
139405;3651;Pусский
139405;3241;English
139433;3241;English
139455;3241;English
139463;3241;English
139467;3371;Italiano
139467;3580;Polski
139467;3241;English
139467;3201;Deutsch
139521;3329;हिन्दी
139559;3651;Pусский
139567;3241;English
139575;3683;svenska
1396;3651;Pусский
139651;3276;Français
139651;3371;Italiano
139715;3241;English
139777;3276;Français
139777;3276;Français
139799;3241;English
1398;3651;Pусский
139851;3276;Français
139863;3248;euskera
14;3241;English
140;3246;Español
140174;3241;English
140208;3276;Français
140208;3241;English
140212;3428;한국어/조선말
140222;3241;English
140231;3329;हिन्दी
140281;3241;English
140383;3276;Français
1404;3246;Español
1404;3241;English
1404;3569;ਪੰਜਾਬੀ
140413;3241;English
140423;3325;עִבְרִית
140441;3383;日本語
140443;3241;English
140443;3246;Español
140447;3246;Español
140465;3241;English
140485;3710;Türkçe
140491;3241;English
1405;3241;English
140509;3383;日本語
140513;3383;日本語
140519;3241;English
140527;3241;English
1406;3241;English
1406;3201;Deutsch
1407;3276;Français
1408;3241;English
1408;3445;Latin
140818;3521;Norsk
140846;3241;English
140870;3840;No Language
140934;3241;English
141;3241;English
1410;3241;English
141010;3371;Italiano
141052;3241;English
141058;3241;English
1411;3241;English
141102;3241;English
141131;3179;广州话 / 廣州話
1412;3241;English
141262;3371;Italiano
1413;3241;English
141319;3241;English
1414;3341;Magyar
1414;3246;Español
1415;3241;English
141520;3651;Pусский
1416;3428;한국어/조선말
1416;3246;Español
1417;3246;Español
141714;3241;English
141733;3241;English
141757;3580;Polski
141810;3371;Italiano
1419;3201;Deutsch
141950;3276;Français
141950;3201;Deutsch
141976;3241;English
141976;3241;English
142;3241;English
1420;3241;English
142012;3241;English
142052;3241;English
142064;3241;English
1421;3276;Français
142106;3241;English
142115;3241;English
142119;3241;English
142150;3241;English
1422;3241;English
1422;3179;广州话 / 廣州話
142216;3241;English
142308;3241;English
142308;3276;Français
142308;3683;svenska
142374;3276;Français
142408;3276;Français
142478;3241;English
142507;3241;English
142656;3383;日本語
1427;3241;English
142746;3651;Pусский
142758;3241;English
142770;3651;Pусский
142797;3651;Pусский
1428;3241;English
1428;3246;Español
1429;3241;English
142971;3241;English
142979;3371;Italiano
142989;3241;English
143;3241;English
143;3276;Français
143;3201;Deutsch
143;3445;Latin
1430;3241;English
143005;3651;Pусский
143049;3241;English
143098;3267;suomi
143247;3241;English
143299;3241;English
1433;3246;Español
143355;3153;Bosanski
143355;3338;Hrvatski
143355;3153;Bosanski
143355;3338;Hrvatski
143525;3267;suomi
143547;3241;English
143747;3371;Italiano
143747;3201;Deutsch
143876;3651;Pусский
1439;3241;English
1439;3700;ภาษาไทย
143946;3383;日本語
143959;3267;suomi
143980;3329;हिन्दी
144;3241;English
144;3276;Français
144;3201;Deutsch
1440;3241;English
144092;3241;English
1441;3241;English
144204;3241;English
144206;3241;English
144288;3383;日本語
1443;3241;English
144326;3179;广州话 / 廣州話
