movie_id;collection_id;collection_name;poster_path;backdrop_path
26954;107949;Puppet Master Collection;/wuLaEcy10wqgiVi4nCjdPXvcCyw.jpg;/crDZjaOpoUCIOoiQ9nLIAt8ZBul.jpg
26958;107949;Puppet Master Collection;/wuLaEcy10wqgiVi4nCjdPXvcCyw.jpg;/crDZjaOpoUCIOoiQ9nLIAt8ZBul.jpg
2698;124949;Almighty Collection;/Abh0z1zf7yYoH8sGLvMIvdNG6gA.jpg;/qKuR7BpBLTcISNWgxKQmXnYYJFX.jpg
2701;2704;The Bible Collection;/neB5ufQZdq0NxLBJYkgQRhIQfdE.jpg;/21bK2Eg8kEMu9OsQvP4MoofBXSF.jpg
272;263;The Dark Knight Collection;/bqS2lMgGkuodIXtDILFWTSWDDpa.jpg;/xfKot7lqaiW4XpL5TtDlVBA9ei9.jpg
2722;330892;Sides of the Bed;/vEFselfDCfcx0NMUcHMI6nJlZo6.jpg;/nTTRmNXdKxlZYEbjjgbpSUcGIDX.jpg
27310;166373;The Marine Collection;/7sPY1VK4yD5Zlv16DUei65rtrjn.jpg;/rpUficLJq3I7GvRafTVT1TVRsms.jpg
2734;2704;The Bible Collection;/neB5ufQZdq0NxLBJYkgQRhIQfdE.jpg;/21bK2Eg8kEMu9OsQvP4MoofBXSF.jpg
274;9743;The Hannibal Lecter Anthology;/aRbyr3KsdmIczGh6VrlvlgQdwMQ.jpg;/npCbvak9UhjPsZB9Oa2k2jsqI7E.jpg
27472;221966;The Odd Couple Collection;/iSRzUpJBro5vgskqVlCNOvXNxjh.jpg;/kY2nJgcvBgjLuAJxygbXYv1el2h.jpg
27549;106000;Beastmaster Collection;/h2WbsEqvWpe3KvT2ArxS1ARSRDl.jpg;/AeXUmULuf1GFw2YyVbwpxTsTXH.jpg
2758;11716;Addams Family Collection;/iqAjYCir8x2fc8eeQ2k4qZqOMP1.jpg;/gS5yZLrSJ6uNbsz17xoxf70X2Ws.jpg
277;2326;Underworld Collection;/aK8qq0X0pZbf5ncE3JLQ27hdC4F.jpg;/2gSaXagD9ZCuBHOsXF4tvtW7Djd.jpg
2770;2806;American Pie Collection;/twY1eM88fu8CCGVtem5ItlrgeDA.jpg;/3ptXtaqzAZlMXn3nZxaYke4anmK.jpg
27815;104716;Basket Case Collection;/6DdpgHlruy4h6tfpwctFUw0inVj.jpg;/1R3D39kne1LX2TYcsQ7kly8D9Zb.jpg
27816;104716;Basket Case Collection;/6DdpgHlruy4h6tfpwctFUw0inVj.jpg;/1R3D39kne1LX2TYcsQ7kly8D9Zb.jpg
27847;10713;Universal Soldier Collection;/vz9ym8LnmyvEAm4ms9PH8JUmUuQ.jpg;/bonZuSo9YE7LFHEFE8oLD3qv32o.jpg
27850;87252;Halloweentown Collection;/gqorFeRQWKW4g68vzLbcvUScrgp.jpg;/aN0TyA2JAvLPWC0tAKbCECPJpTb.jpg
280;528;The Terminator Collection;/vxiKtcxAJxHhlg2H1X8y7zcM3k6.jpg;/cpmbkwSxZnKO69V82A9a34tvk2E.jpg
